County,POE Name,Status,Geometry,Crossing Types,Lane Types,Delay,Year,Month,Date
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,,2018,October,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,8,2021,February,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,,2012,December,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,2,2011,October,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,11,2017,October,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,7,2015,January,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,,2016,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,26,2018,July,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,,2018,September,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,20,2016,August,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,27,2014,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,34,2019,May,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,0,2018,July,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,5,2013,January,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,,2018,December,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Ready,27,2019,November,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,,2016,July,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,,2016,April,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Ready,4,2020,April,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,0,2012,June,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,,2016,May,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,,2015,June,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,71,2019,December,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,9,2017,June,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,9,2021,October,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,90,2012,March,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,8,2013,December,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,,2015,April,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,9,2018,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,52,2016,November,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,37,2012,May,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,19,2016,August,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,43,2013,May,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,,2015,May,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,58,2022,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,,2018,December,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,52,2013,January,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,7,2021,July,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,31,2020,March,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,34,2011,December,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,,2018,October,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,21,2021,January,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,15,2012,February,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,44,2019,October,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,10,2021,January,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,,2012,October,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,4,2018,April,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,84,2021,May,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,27,2018,April,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,22,2022,February,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,9,2021,September,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,48,2021,February,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,,2015,August,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,FAST,10,2012,March,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,,2012,November,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,,2013,May,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,38,2019,May,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,4,2020,October,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,,2014,November,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,50,2013,July,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2015,September,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,,2018,September,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,,2015,July,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,,2014,October,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,30,2019,July,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,14,2022,January,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,14,2018,March,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,,2015,April,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Ready,5,2019,January,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,6,2020,January,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,10,2017,December,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,11,2015,June,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,8,2019,September,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,,2013,December,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,68,2020,September,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,16,2016,December,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,,2019,February,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,29,2021,December,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,0,2018,May,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,1,2020,December,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,14,2017,March,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,67,2012,September,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,11,2018,February,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,62,2020,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,19,2014,September,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,16,2017,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,35,2016,September,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,,2013,May,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,4,2011,November,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,37,2020,March,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,19,2017,February,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,21,2022,January,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,4,2021,July,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,6,2012,July,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,42,2020,November,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,,2013,March,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2016,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,12,2016,December,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,6,2020,March,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,40,2018,July,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,31,2015,December,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,38,2013,June,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,29,2015,July,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,30,2015,July,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,87,2022,March,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,7,2021,March,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,,2016,May,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,51,2016,December,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,,2014,December,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,5,2017,January,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,23,2018,August,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,,2015,March,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,,2015,June,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,2,2020,April,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2013,August,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,,2015,August,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,,2014,September,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,21,2018,June,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,9,2017,November,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,5,2020,March,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,47,2017,December,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,83,2012,November,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,,2014,June,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,,2016,February,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,3,2016,July,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,7,2017,June,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,66,2011,November,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,9,2018,May,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,38,2015,October,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,0,2020,May,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,29,2012,February,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,7,2021,July,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,44,2022,March,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,13,2017,October,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,45,2012,April,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,12,2021,April,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,,2013,September,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,22,2015,September,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,10,2020,October,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,31,2020,September,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,74,2017,December,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,44,2020,July,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,14,2022,February,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,,2016,June,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,5,2019,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,32,2020,July,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,59,2012,August,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,,2016,April,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,2,2016,December,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,36,2021,September,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,0,2012,February,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,,2014,December,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,,2015,August,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Ready,16,2018,March,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,,2019,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,47,2017,March,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,22,2020,November,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,,2015,October,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,1,2020,July,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,33,2019,August,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,1,2012,July,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,,2014,April,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,12,2016,October,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,25,2017,November,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,12,2015,July,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2013,December,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,71,2021,September,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,,2013,July,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,38,2019,April,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,55,2020,October,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,38,2017,August,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,43,2013,April,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,0,2018,February,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,47,2017,February,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,51,2012,February,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,31,2017,January,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2013,November,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,42,2017,July,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,52,2019,December,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,33,2018,February,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,2,2020,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,3,2021,February,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,40,2017,September,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,7,2019,October,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,21,2012,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,18,2015,January,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,7,2020,December,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,,2015,June,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,7,2021,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,80,2022,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,10,2019,January,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,58,2018,June,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,17,2014,April,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,13,2019,November,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,23,2018,March,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,13,2014,June,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,36,2015,August,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,12,2019,July,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,10,2020,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,,2016,May,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,,2016,May,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,5,2021,December,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,15,2015,March,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,,2014,June,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,,2015,July,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,23,2015,February,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,8,2018,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,38,2016,January,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,47,2020,September,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,6,2013,June,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,12,2021,June,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,24,2020,October,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,27,2017,March,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,79,2013,April,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,8,2012,November,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,5,2020,September,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,15,2021,October,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,37,2015,September,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,,2013,October,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2013,January,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,7,2017,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,22,2015,June,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,19,2021,April,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,5,2020,May,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,3,2012,August,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,5,2017,December,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,6,2020,May,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,52,2013,December,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,,2013,December,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,,2019,February,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,0,2020,June,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,21,2014,May,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,4,2022,February,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,,2013,August,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,4,2017,July,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,7,2020,August,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,53,2020,December,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,,2014,April,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,45,2012,January,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,80,2020,May,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,24,2015,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,,2013,February,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,32,2022,February,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,3,2011,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,,2014,January,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,,2015,January,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,,2014,August,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,6,2017,May,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,,2014,June,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Ready,7,2017,June,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,13,2021,January,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,20,2015,October,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,,2018,December,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,12,2014,February,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,48,2013,May,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,4,2012,July,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,39,2021,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Standard,51,2017,April,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,34,2016,March,
