Date,County,POE Name,Status,Crossing Types,Lane Types,Delay,Geometry
06/01/2021 12:00:00 AM,Imperial,Calexico West,Existing,Passenger,Standard,72,POINT (-115.49633142030937 32.665128403179615)
04/01/2020 12:00:00 AM,Imperial,Calexico East,Existing,Commercial,Standard,9,POINT (-115.38766748631362 32.67336532617336)
06/01/2013 12:00:00 AM,Imperial,Calexico East,Existing,Pedestrian,Standard,,POINT (-115.38766748631362 32.67336532617336)
03/01/2021 12:00:00 AM,Imperial,Calexico East,Existing,Pedestrian,Standard,4,POINT (-115.38766748631362 32.67336532617336)
08/01/2018 12:00:00 AM,San Diego,San Ysidro,Existing,Pedestrian,Ready,25,POINT (-117.0294681170711 32.54316318124256)
02/01/2015 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Ready,,POINT (-115.38766748631362 32.67336532617336)
05/01/2021 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,SENTRI,7,POINT (-115.38766748631362 32.67336532617336)
03/01/2012 12:00:00 AM,Imperial,Calexico West,Existing,Passenger,Standard,57,POINT (-115.49633142030937 32.665128403179615)
02/01/2020 12:00:00 AM,San Diego,San Ysidro,Existing,Pedestrian,Ready,5,POINT (-117.0294681170711 32.54316318124256)
02/01/2021 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Ready,31,POINT (-115.49633142030937 32.665128403179615)
08/01/2019 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Ready,9,POINT (-115.49633142030937 32.665128403179615)
11/01/2021 12:00:00 AM,San Diego,San Ysidro,Existing,Pedestrian,Ready,11,POINT (-117.0294681170711 32.54316318124256)
10/01/2014 12:00:00 AM,Imperial,Calexico West,Existing,Passenger,Standard,,POINT (-115.49633142030937 32.665128403179615)
11/01/2019 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,Ready,36,POINT (-117.0294681170711 32.54316318124256)
11/01/2018 12:00:00 AM,San Diego,Tecate,Existing,Pedestrian,Standard,,POINT (-116.62749875679889 32.57652396492499)
01/01/2012 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,SENTRI,4,POINT (-117.0294681170711 32.54316318124256)
10/01/2020 12:00:00 AM,Imperial,Andrade,Existing,Passenger,Standard,32,POINT (-114.72822550381008 32.718470005577316)
05/01/2013 12:00:00 AM,Imperial,Calexico East,Existing,Pedestrian,Standard,,POINT (-115.38766748631362 32.67336532617336)
01/01/2013 12:00:00 AM,Imperial,Calexico West,Existing,Passenger,Standard,,POINT (-115.49633142030937 32.665128403179615)
08/01/2013 12:00:00 AM,San Diego,Tecate,Existing,Passenger,Standard,38,POINT (-116.62749875679889 32.57652396492499)
09/01/2019 12:00:00 AM,Imperial,Calexico West,Existing,Passenger,Standard,48,POINT (-115.49633142030937 32.665128403179615)
01/01/2016 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Ready,,POINT (-115.38766748631362 32.67336532617336)
08/01/2021 12:00:00 AM,Imperial,Andrade,Existing,Pedestrian,Standard,4,POINT (-114.72822550381008 32.718470005577316)
10/01/2016 12:00:00 AM,San Diego,Tecate,Existing,Pedestrian,Standard,2,POINT (-116.62749875679889 32.57652396492499)
09/01/2020 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Ready,18,POINT (-115.49633142030937 32.665128403179615)
10/01/2017 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,SENTRI,8,POINT (-117.0294681170711 32.54316318124256)
07/01/2012 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Standard,9,POINT (-115.49633142030937 32.665128403179615)
08/01/2019 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Standard,10,POINT (-115.49633142030937 32.665128403179615)
09/01/2020 12:00:00 AM,Imperial,Calexico East,Existing,Commercial,Standard,11,POINT (-115.38766748631362 32.67336532617336)
08/01/2015 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Standard,,POINT (-115.49633142030937 32.665128403179615)
07/01/2020 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,Standard,70,POINT (-117.0294681170711 32.54316318124256)
03/01/2016 12:00:00 AM,San Diego,Tecate,Existing,Commercial,Standard,14,POINT (-116.62749875679889 32.57652396492499)
06/01/2017 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Standard,12,POINT (-115.49633142030937 32.665128403179615)
12/01/2016 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Ready,17,POINT (-115.49633142030937 32.665128403179615)
04/01/2019 12:00:00 AM,San Diego,Tecate,Existing,Commercial,Standard,25,POINT (-116.62749875679889 32.57652396492499)
04/01/2020 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,Ready,26,POINT (-117.0294681170711 32.54316318124256)
11/01/2014 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,SENTRI,,POINT (-115.38766748631362 32.67336532617336)
03/01/2016 12:00:00 AM,San Diego,San Ysidro,Existing,Pedestrian,Ready,23,POINT (-117.0294681170711 32.54316318124256)
09/01/2017 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Ready,33,POINT (-115.38766748631362 32.67336532617336)
03/01/2016 12:00:00 AM,Imperial,Calexico West,Existing,Passenger,Standard,,POINT (-115.49633142030937 32.665128403179615)
01/01/2014 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Ready,,POINT (-115.38766748631362 32.67336532617336)
